,user,topic0,topic1,topic2,topic3,cluster
0,V_Ikpeba,115,116,115,126,0
0,iamleonardwu,117,103,92,114,0
0,elrufai,10,9,10,3,1
0,bayoadekanmbi,89,80,88,82,0
0,Karamo,104,116,133,124,0
0,AmnestyNigeria,108,129,111,100,0
0,PlanningNG,127,112,109,125,0
0,PhilipObin,106,103,102,86,0
0,FightingMalaria,123,126,128,127,0
0,CarnegieFdn,131,131,116,125,0
0,fmaviationng,95,103,119,95,0
0,nucjnigeria,55,56,60,54,1
0,donnafstelling,132,134,128,109,0
0,lauriejlee,137,97,124,128,0
0,AndersBonaniK,103,104,132,108,0
0,thorku,111,115,103,101,0
0,DrTedros,107,105,123,114,0
0,CEPIvaccines,110,104,137,110,0
0,NuhuAdams_,85,109,102,106,0
0,khanacademy,110,138,119,124,0
0,DFID_Research,130,130,116,121,0
0,romaric_92,0,1,0,0,1
0,florenceachuo,2,2,0,1,1
0,KaizerChiefs,88,85,87,91,0
0,derWinterbach,56,48,47,46,1
0,TheMandyMoore,135,114,121,109,0
0,ONwachukwuDDI,8,8,5,10,1
0,OfficialNCDMB,131,119,111,139,0
0,cenbank,123,97,111,114,0
0,chukwueze_8,8,8,3,10,1
0,TNFCNG,120,131,135,105,0
0,SteveJames,133,105,126,116,0
0,RedCardMng,105,110,103,117,0
0,theresa_may,132,118,108,140,0
0,CARE,119,123,125,123,0
0,AzebWG,26,33,43,34,1
0,PaulChapman_,112,105,97,121,0
0,NicolaCareem,123,117,121,100,0
0,orlandopirates,132,120,102,100,0
0,StevenLevy,117,117,114,138,0
0,Argentina,1,0,1,0,1
0,gdarmsta,133,115,121,134,0
0,Mortada5Mansour,0,0,1,0,1
0,austintylerro,108,115,104,105,0
0,HeyBuckHey,105,121,94,93,0
0,kaikahele,96,112,105,102,0
0,EricHorngABC7,32,48,43,48,1
0,harari_yuval,104,125,103,76,0
0,wabote_simbi,5,2,10,2,1
0,IAVI,127,124,118,124,0
0,GlblCtznImpact,121,122,120,119,0
0,NickKristof,122,125,122,125,0
0,SueDHellmann,118,130,111,126,0
0,GatesAfrica,127,145,114,119,0
0,EgyptianPlayers,117,129,128,109,0
0,NHGSFP,137,124,126,111,0
0,ESTuniscom,14,12,13,17,1
0,MagassoubaMakan,3,3,3,2,1
0,Airbnb,126,128,111,126,0
0,PaulineKTallen,72,62,65,71,0
0,Q13FOXKiggins,124,98,123,111,0
0,NunesAlt,108,111,122,94,0
0,HYPREPNigeria,126,127,128,108,0
0,governorobaseki,62,66,50,84,0
0,JosephSteinberg,117,130,109,135,0
0,wsary,1,0,0,0,1
0,yangconomics,119,114,128,107,0
0,emesola,118,94,114,115,0
0,IbeKachikwu,117,119,137,130,0
0,ElizKolbert,126,123,127,126,0
0,TheAEIC,127,107,125,96,0
0,KateWhineHall,47,42,52,49,1
0,UrugwiroVillage,113,97,101,92,0
0,VAIDSNG,105,120,127,129,0
0,nannews_ng,71,86,72,76,0
0,shannonwoodward,104,89,100,99,0
0,robinsonjamiec1,93,84,91,102,0
0,SundayDareSD,108,117,120,137,0
0,bmenigeria,139,105,108,117,0
0,Thabet,2,5,3,5,1
0,Tim_Roehn,7,3,6,7,1
0,GeoffreyOnyeama,100,111,108,104,0
0,monicamusonda,119,117,120,101,0
0,nigeriagov,16,11,18,5,1
0,Michael_Lowman,127,127,118,106,0
0,SteveCase,116,127,117,111,0
0,karlscottsays,35,32,24,30,1
0,BostonTeresa,106,109,125,100,0
0,jorgeluizrod,1,1,0,1,1
0,joduwole,84,98,77,75,0
0,NAQSng,85,77,67,80,0
0,timoreilly,132,118,128,120,0
0,Concacaf,59,67,53,55,1
0,JohnBennettBBC,116,123,118,116,0
0,SylviaJorif,13,13,15,19,1
0,ThRenggli,29,21,17,12,1
0,OAuGF,72,79,74,95,0
0,NafdacAgency,121,106,108,106,0
0,LSMOH,141,98,114,114,0
0,MinTransportNG,35,39,24,28,1
0,DrSepah,115,107,128,106,0
0,biz,102,112,114,133,0
0,LMbalashi,77,78,91,81,0
0,fmicnigeria,117,116,111,103,0
0,Shiny_Demon,126,108,108,118,0
0,rosegeorge3,110,122,137,119,0
0,LolaAkinmade,102,118,97,118,0
0,rgameyer,87,100,109,70,0
0,Mohamed_Sherei,56,35,45,31,1
0,CodeblackLife,110,107,140,110,0
0,ClemAgba,83,69,106,82,0
